Company Name,Industry,Funding Stage,Amount,Location,About Company,Year Funded,Investor
Zest Money,Fintech,Series B,15000000,Bangalore,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,2019,Goldman Sachs.
Witblox,Edtech,,182700,,Offers a range of robotics learning tools,2019,Mumbai Angels Network
Azah Personal Care Pvt. Ltd.,Health,Pre series A,,Gurugram,Aims to solve some problems in the feminine hygiene sector,2019,"Kunal Bahl, Rohit Bansal."
SalaryFits,Fintech,,5000000,,A platform that promotes financial well-being of employees at workplace,2019,Brazilian VC Fund Confrapar
Pristyn Care,Healthcare,Series B,12000000,,Delivers advanced medical care & clinical excellence aided by next-level technology,2019,"Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList."
Springboard,Edtech,Post series A,11000000,,Offers online courses and extensive mentor-based learning,2019,Reach Capital
DROR Labs Pvt. Ltd,Safety tech,,,Delhi,It uses technology to create a trust-based network of responsible citizens to ensure safety,2019,Inflection Point Ventures
Medlife,Pharmaceutical,,15500000,Bangalore,It solves inadequacies in the healthcare delivery system through technology,2019,Wilson Global Opportunities Fund
Seekify,SaaS,Seed funding,1500000,Delhi,Customer Experience (CX) Automation platform,2019,Sequoia Capita
Toffee Insurance,Insurance technology,Series A,5500000,Haryana,Provides variety of insurance plans and policies,2019,IVM Intersurer
Fireflies .ai,AI,,5000000,,Developer of an artificial intelligence-powered assistant for businesses,2019,Canaan Partners
HungerBox,Foodtech,Series C,12000000,Bangalore,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",2019,"Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux."
Bijak,AgriTech,Seed fund,2500000,,B2B platform for agricultural commodities.,2019,"Omnivore and Omidyar Network India, Sequoia Capital"
Licious,Food,Series E,30000000,Bangalore,Online meat shop,2019,Vertex Growth Fund
truMe,IoT,,140000,,A global platform for Identity and Access Management,2019,Rajan Kaistha
Pumpkart,E-marketplace,,,Chandigarh,B2B model for appliances and electrical products,2019,Dinesh Dua
Asteria Aerospace,Robotics & AI,,230000000,Bangalore,"Develops drones that are used by the military, paramilitary, police forces and in various industries.",2019,Reliance Industries
Rivigo,Logistics,Series F,20000000,,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",2019,"SAIF Partners India VI Ltd, Spring Canter Investment Ltd"
HappyEasyGo,Travel,Series B+,49400000,Gurugram,Online flight booking,2019,"Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners"
Zetwerk,Manufacturing,Series B,32000000,Bangalore,Provides facilities to get products manufactured.,2019,"Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital"
Observe.AI,AI,Series A,26000000,Bangalore,Creates a voice AI platform,2019,Scale Venture Partners
Freshokartz,E-marketplace,Pre series A,150000,Jaipur,Online fruits and vegetables delivery company,2019,ThinkLab
Lil’ Goodness and sCool meal,Food & Nutrition,,400000,Bangalore,It empowers moms to provide the best of foods to their Lil' ones,2019,"Sajan Pillai, Muthu Krishnan,"
Trell,Social Media,Pre series A,2000000,Bangalore,Blogging platform that enables people to create visual collections of their travel and local experiences,2019,"Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah"
VMate,,,100000000,,A short video platform,2019,Alibaba
Bombay Shirt Company,E-commerce,,8000000,Mumbai,Online custom shirt brand,2019,Lightbox Ventures
Slintel,SaaS,,1500000,,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",2019,Stellaris Ventures
MyGameMate,E-Sports,,100000,Bangalore,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,2019,"Jindagi Live Angels,"
Afinoz,Fintech,,,Noida,Online financial marketplace for customized rate quotes on loans and investment products in India,2019,Fintech innovation lab
Rein Games,Technology,Pre series A,50000000,Noida,"It develops, publishes and distributes games across various platforms",2019,"Manipal Education and Medical Group (MEMG) family office, Titan Capital"
Ecozen,AgriTech,Series A,6000000,Pune,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,2019,Innovation in Food & Agriculture Fund (IFA Fund)
Box8,Foodtech,,120000000,Mumbai,Enables to order food online,2019,Trifecta Capital
Awign Enterprises,,Series A,4000000,Bangalore,It supplies workforce to the economy,2019,"Work10M, Michael and Susan Dell Foundation, Eagle10, Unitus Ventures."
Purplle,Cosmetics,Series C,30000000,Mumbai,Online makeup and beauty products retailer,2019,Goldman Sachs
Freightwalla,B2B,Series A,4000000,Mumbai,Provides digital platform for businesses to plan and manage their international freight shipments online,2019,"Amplo, FJ Labs, Rogue One Capital"
TapChief,,Pre series A,1500000,Bangalore,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,2019,Blume Ventures.
eJOHRI,Jewellery,Pre series A,1000000,Mumbai,Omnichannel marketplace for gems and jewellery,2019,Rajesh Ranavat
Ninjacart,B2B Supply Chain,,,,"It connects producers of food directly to retailers, restuarants and service providers.",2019,"Walmart, Flipkart"
Binca Games,Games,,,Mumbai,It offers games that are available across India and UK.,2019,Sunil Gavaskar
KredX,,Series B,26000000,Bangalore,Invoice discounting platform,2019,Tiger Global Management
m.Paani,,Series A,5500000,Mumbai,It digitizes and organises local retailers,2019,"AC Ventures, Henkel"
Origo,AgriTech,,6800000,Gurugram,It provides post-harvest management services for agricultural commodities,2019,"Oikocredit, Caspian SME Impact Fund IV,  Triodos Investment Management"
WishADish,Food & tech,,6000000,Delhi,Provides management solution for restaurants,2019,Undisclosed
Ecom Express,Logistics,,36000000,Gurugram,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,2019,CDC Group
Stanza Living,Accomodation,,5700000,Delhi,Provides comfortable and secure accomodation for students,2019,Alteria Capital
PiBeam,Automotive tech,,50000000,Chennai,It is engaged in building sustainable and affordable micro-mobility electric vehicles,2019,GAIL (India) Ltd
Euler Motors,Automotive tech,,2000000,Delhi,It is offering mobility as a service,2019,"Blume Ventures, Emergent Ventures"
Moms Co,E-commerce,Series B,5000000,New Delhi,It is into mother and baby care-focused consumer goods,2019,"Saama Capital, DSG Consumer Partners"
Cubical Labs,IoT,Series B,,,Home automation solution provider,2019,Rockstud Capital
Lawyered,Legal tech,,100000,Delhi,It helps to connect to legal advise online,2019,"Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal"
Cuemath,Edtech,,5500000,Bangalore,It helps students to learn math online,2019,"Manta Ray Ventures Limited, Google’s Capital G, Sequoia India."
Licious,Food,Series D,25000000,Bangalore,Online meat shop,2019,Vertex Ventures
Nivesh.com,Mutual Funds,,600000,Noida,The platform simplifies the process of investment,2019,Windrose Capital
Zebu,Cybersecurity,Seed round,4000000,,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",2019,Undisclosed
Smart Institute,Edtech,,1500000,Surat,A platform to learn online,2019,HNI investors
CarDekho,Automobile,Series D,70000000,Jaipur,Enables people to buy and sell new/old cars.,2019,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital"
Shadowfax,Logistics,Series D,60000000,Bangalore,A platform for delivery services,2019,"Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC"
Credr,Automobile,,6000000,Mumbai,A marketplace to buy and sell used bikes and scooters,2019,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList"
Sportido,Sports,Series B,,Noida,It is a sports discovery app that helps to find people and places to play 700+ sports,2019,"Inflection Point Ventures, SucSEED Venture Partners."
Phable,Healthtech,,220000,,"It creates an engagement loop between doctors, hospitals, and patients via its app",2019,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters."
Sarva,Yoga & wellness,,2800000,Chennai,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,2019,"Venture fund, Fireside Ventures."
IndyFint,Virtual Banking,Series A,2100000,Bangalore,"It helps lenders to directly provide short-term loans to merchants, employees, and students",2019,Saravanan Adiseshan
Zolostays,Accomodation,,7000000,,It offers affordable housing apartments to young professionals and students,2019,Trifecta Capital
Ola,Transportation,,311000000,Bangalore,It enables one to book cab online,2019,"Kia Motors, Hyundai"
Zoomcar,Transport & Rentals,,4800000,Bangalore,A car rental service platform,2019,Zoomcar Inc
Kratikal,Technology,Pre-series A,1000000,Uttar pradesh,Provides cyber security solutions,2019,"Gilda VC, Art Venture, Rajeev Chitrabhanu"
Froogal,Marketing & Customer loyalty,Pre series A,1000000,Hyderabad,A cloud based Customer Loyalty & Engagement Platform,2019,US-based angel investors
Infra.Market,Infratech,Series A,20000000,Mumbai,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing",2019,"Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala"
Oyo,Hospitality,,693000000,Gurugram,Provides rooms for comfortable stay,2019,"MyPreferred Transformation, Avendus Finance, SoftBank"
GoMechanic,Automobile & Technology,Series B,5000000,Delhi,Find automobile repair and maintenance service providers,2019,Sequoia Capital
Spinny,Automobile,,50000000,Delhi,Online car retailer,2019,"Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners"
Ess Kay Fincorp,Banking,,33000000,Rajasthan,Organised Non-Banking Finance Company,2019,"TPG, Norwest Venture Partners, Evolvence India"
Aqgromalin,AgriTech,,200000.0,Chennai,Cultivating Ideas for Profit,2020,Angel investors
Krayonnz,EdTech,Pre-seed,100000.0,Bangalore,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,2020,GSF Accelerator
PadCare Labs,Hygiene management,Pre-seed,,Pune,Converting bio-hazardous waste to harmless waste,2020,Venture Center
NCOME,Escrow,,400000.0,New Delhi,Escrow-as-a-service platform,2020,"Venture Catalysts, PointOne Capital"
Gramophone,AgriTech,,340000.0,Indore,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,2020,"Siana Capital Management, Info Edge"
qZense,AgriTech,Seed,600000.0,Bangalore,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,2020,"Venture Catalysts, 9Unicorns Accelerator Fund"
MyClassboard,EdTech,Pre-series A,600000.0,Hyderabad,MyClassboard is a full-fledged School / College Management Software.,2020,ICICI Bank.
Metvy,Networking platform,Pre-series,,Gurgaon,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,2020,HostelFund
Rupeek,FinTech,Series C,45000000.0,Bangalore,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",2020,"KB Investment, Bertelsmann India Investments"
Gig India,Crowdsourcing,Pre-series A,1000000.0,Pune,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,2020,"Shantanu Deshpande, Subramaniam Ramadorai"
Slurrp Farm,Food & Bevarages,Series A,2000000.0,Gurgaon,Slurrp Farm is a children health food brand.,2020,Fireside Ventures
Medfin,HealthTech,Series A,,Bangalore,Medfin is a Discovery platform for medical procedures and financing.,2020,"Axilor Ventures, S.D. Shibulal"
Brila 91,Food & Bevarages,,1200000.0,New Delhi,Bira 91 is a craft beer company.,2020,"Sequoia Capital India, Sixth Sense Ventures"
FoodyBuddy,Food Industry,,600000.0,Belgaum,FoodyBuddy is a online food delivery portal,2020,Rebel Foods
Zomato,Food Delivery,,660000000.0,Gurgaon,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,2020,"Kora, Tiger Global Management"
OurEye.ai,Virtual auditing startup,,120000.0,Bangalore,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",2020,"100X VC, Amara Ventures"
Shiprocket,E-commerce,Series C,7500000.0,New Delhi,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,2020,"Bertelsmann India Investments, InnoVen Capital"
Moneyboxx Finance,FinTech,,1000000.0,New Delhi,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,2020,"BlackSoil, Caspian"
EWar,Gaming,Pre-series A,,Bangalore,EWar Games is a e-sports and real-time gaming start-up.,2020,"Jindal Steels, Jeet Banerjee"
SucSEED Indovation,FinTech,,5000000.0,Hyderabad,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",2020,
TaxBuddy.com,FinTech,,1000000.0,Mumbai,TaxBuddy for any tax related issues.,2020,Zenith Global
Awign Enterprises,Work fulfillment,,500000.0,Bangalore,Operations and manpower outsourcing startup,2020,"Unitus Ventures, Work10M"
Circle of Angels,FinTech,,3000000.0,Gurgaon,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,2020,
CoinDCX,FinTech,Series B,10000000.0,Mumbai,CoinDCX is a company that specializes in crypto-enabled financial services.,2020,"Coinbase Ventures, Polychain"
Glance,AI startup,,145000000.0,Bangalore,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,2020,Mithril Capital Management.
VerSe Innovation,Telecommunication,,100000000.0,Bangalore,Owner of Dailyhunt App and I-Pay,2020,Google
Voosh,Food Industry,Pre-seed,,Bangalore,Building India's largest digital food service brand,2020,Better Capital
Arya,AgriTech,Series B,21000000.0,Noida,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",2020,Quona Capital
Pickrr,Logistics,,4000000.0,New Delhi,Pickrr is an on-demand first mile logistics company,2020,Swastika
PhonePe,FinTech,,20000000.0,Andheri,PhonePe is a mobile payment application that enables users to transfer money instantly.,2020,"Flipkart, Walmart"
Countingwell,EdTech,Pre-series A,1000000.0,Bangalore,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",2020,"Delhi Private School, UAE, Interstar"
Callify.ai,Tech Startup,Seed,560000.0,Mumbai,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,2020,Malpani Ventures
Hudle,Sports,Pre-series A,,New Delhi,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,2020,Survam Partners
Cover it Up,E-commerce,Seed,400000.0,Chennai,Online portal that churns out high quality products,2020,Angel investors
BiteSpeed,E-commerce,Seed,275000.0,Gurgaon,Chat-based commerce for E-commerce brands,2020,Whiteboard Capital
WakeFit,Retail,Series B,20000000.0,Bangalore,Wakefitkart is a mattress manufacturing company,2020,Sequoia Capital.
Sreyas Holistic Remedies,Medtech,,1000000.0,Hyderabad,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,2020,Blacksoil
M1xchange,FinTech,,4500000.0,Gurgaon,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,2020,"BEENEXT, Mayfield Fund"
Exotel,Cloud company,,5000000.0,Bangalore,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,2020,"A91 Partners, Artha India Ventures"
PagarBook,Software company,Series A,15000000.0,Bangalore,"Staff's Salary, Work & Attendance Management Application",2020,"Sequoia Capital, India Quotient"
Ayana,Renewable player,,390000000.0,Bangalore,Ayana Renewable Power is an Indian renewable energy platform,2020,"NIIF Ltd, CDC Group"
Fisdom,FinTech,,7000000.0,Bangalore,Fisdom is a fintech company that offers investment advisory services through an application.,2020,"PayU Finance India, Quona Capital"
Tinker Coders,EdTech,Seed,,Noida,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,2020,STEMROBO Technologies
Infinite Uptime,IoT startup,Series B,5100000.0,Pune,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,2020,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund"
HappyLocate,SaaS startup,Pre-series A,500000.0,Bangalore,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",2020,The CoWrks Foundry
PhonePe,FinTech,,700000000.0,New Delhi,PhonePe is a mobile payments application that allows the user to transfer money instantly.,2020,Flipkart
Loop Health,HealthTech,Seed,2300000.0,Pune,Loop Health is bringing ease and choice to patients seeking major medical treatments.,2020,"Y Combinator, Sierra Ventures"
NeoDocs,HealthTech,Pre-seed,,Mumbai,Neodocs analyses medical reports and provides personalised health recommendations remotely.,2020,9Unicorns Accelerator Fund
The ePlane,Aero company,Seed,,Chennai,Transforming the mobility landscape using aerial transport.,2020,Speciale Invest
TagMango,Marketing company,Seed,700000.0,Mumbai,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",2020,"XRM Media, Kevin Lin"
The New Shop,Retail startup,Seed,500000.0,New Delhi,The New Shop is a chain of high speed retail stores,2020,Huddle Accelerator
MobiKwik,FinTech,,7000000.0,Gurgaon,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.",2020,"Hindustan Media Venture, Nicolas Jarrosson"
DebugsBunny,EdTech,,100000.0,Pune,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,2020,India Angel Fund
BHIVE Investech,Co-working Startup,Seed,1000000.0,Bangalore,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,2020,Blume Ventures
Rivigo,Logistics,,19000000.0,Gurgaon,Rivigo is a technology-enabled logistics platform provider that offers transport services.,2020,"Elevation Capital, Trifecta Capital Advisors"
ZipLoan,Finance company,,3000000.0,New Delhi,ZipLoan is a online lending platform,2020,"Stride Ventures, Matrix Partners India"
Prescinto,Solar Monitoring Company,Seed,,Ahmedabad,Prescinto provides solutions for solar monitoring and analytics solutions.,2020,"Startup incubator, Accelerator Venture Catalysts"
Toppeq,SaaS startup,Seed,,Mumbai,SaaS-based equity management platform,2020,
Bolo Indya,Video sharing platform,,400000.0,Gurgaon,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.",2020,"India Accelerator, Sunil Kamath"
Bombay Play,Gaming startup,Seed,1000000.0,Bangalore,Bombay Play is a Card and Toy Company Making games for India.,2020,"Ramakant Sharma, Leo Capital India"
KIKO TV,Video streaming platform,Seed,,Mumbai,KIKO TV is an AI-based short live video e-commerce platform.,2020,"9Point8 Capital, Sunil Kumar Singhvi"
Atomberg Technologies,Consumer appliances,Series B,9000000.0,Mumbai,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",2020,"Sandeep Tandon, Survam Partners"
DealShare,E-commerce,Series C,21000000.0,Jaipur,DealShare is a Social Commerce Startup,2020,"Falcon Edge Capital, Omidyar Network"
CueMath,EdTech,Series C,40000000.0,Bangalore,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,2020,"Sequoia Capital India, CapitalG"
Gamerji,Gaming startup,Seed,,Ahmedabad,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",2020,La Gajjar Group.
5C Network,HealthTech,Pre-series A,1200000.0,Bangalore,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",2020,"Axilor Ventures, Unitus Ventures"
Ethereum Push Notification Service,Blockchain startup,Seed,750000.0,Mumbai,EPNS is a decentralized notification protocol,2020,Prolific angel investors
Mihup,Conversational AI platform,Series A,1500000.0,Kolkata,Intelligence-based personal mobile assistant app,2020,"Ideaspring Capital, Accel"
RuralBasket,E-commerce,,500000.0,"Tirunelveli, Tamilnadu",Naturally grown and healthy products directly from farmers.,2020,Nativelead Foundation
WayCool Foods,AgriTech,Debt,7800000.0,Chennai,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",2020,"FMO, IndusInd Bank"
Infra.Market,Real Estate,Series B,20000000.0,Thane,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,2020,"Trifecta Capital Advisors, Nexus Venture Partners"
Info Edge Venture,Venture capitalist,,50000000.0,Noida,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",2020,Lightbox
Clovia,E-commerce,Pre-series C,4000000.0,Noida,Clovia is the online lingerie retailer,2020,"Golden Birch Investments, She Capital"
Codingal,EdTech,Seed,560000.0,Bangalore,Coding education platform for K-12 students,2020,"Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator."
CRED,Finance company,Series C,80000000.0,Bangalore,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,2020,"General Catalyst, Ribbit Capital"
Vistaar Finance,Finance company,,30000000.0,Bangalore,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,2020,FMO
Let's Dive,SaaS platform,,1700000.0,Bangalore,A platform for remote employee engagement and building team culture,2020,Surge
Habitat,EdTech,Seed,600000.0,,"Habitat, a social learning edtech platform for civil service aspirants",2020,"Unitus Ventures, Whiteboard Capital"
SAWO Labs,SaaS platform,Seed,600000.0,Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,2020,"StartupXseed Ventures, 100X.VC"
Signzy,AI platform,,3000000.0,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,2020,"Stellaris Venture Partners, Mastercard"
Kyt,EdTech,,2500000.0,Singapore,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,2020,Sequoia Capital India’s Surge
Raskik,Fusion beverages,Pre-series A,1000000.0,,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,2020,"Venture Catalysts, 9Unicorns"
GetWork,HR Tech,Pre-seed,40000.0,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2020,India Accelerator
Mobile Premier League (MPL),Gaming,Series B,500000.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,"Pegasus Tech Ventures, Base Partners"
Pravasirojgar,Job portal,,33000000.0,,Initiative for blue-collar job workers,2020,GoodWorker.
Omatra Hotels,Hospitality,Seed,,Kolkata,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,2020,Capify
Awign,Job portal,Pre-series B,,Bangalore,Operations and manpower outsourcing startup,2020,"Unitus Ventures, Work10M"
NewsReach,Digital Media,Seed,1500000.0,Gujarat,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,2020,"Mumbai Angels, JITO Angel Network."
Cashfree,FinTech,Series B,35000000.0,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,2020,"George Osborne, Smilegate Investment"
Credgenics,FinTech,Pre-series A,3000000.0,New Delhi,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,"Accel India, Breadlake Ventures"
GeoIQ,AI startup,Seed,300000.0,Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",2020,"Ankur Mittal, Mitesh Shah"
Country Delight,Dairy startup,Series C,25000000.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,"IIFL Asset Management, Matrix Partners"
Quintype,Content management,Series A,3500000.0,Bangalore,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",2020,IIFL AMC
CARS24,Retail,Series E,200000000.0,Haryana,CARS24 is an India-based platform for selling used cars.,2020,"Global Car Group, Freemark holdings"
Power Gummies,HealthTech,Bridge,,New Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2020,Venture Catalysts
Cityflo,Transportation,Series A,7000000.0,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,2020,"Anupam Mittal, India Quotient"
AlgoBulls,Trading platform,,200000.0,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2020,Venture Catalysts
Credgenics,FinTech,Pre-series A,3000000.0,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,"Accel India, Breadlake Ventures"
Ensuredit,FinTech,Pre-series A,300000.0,Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,2020,Venture Catalysts
Shipsy,AI Company,Series A,6000000.0,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2020,"DTDC, Udaan Angel Partners"
ERPNext,Tech company,,1000000.0,Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",2020,Rainmatter
Grip Invest,FinTech,Pre-series A,,Gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,2020,Gemba Capital
Yellow Classes,EdTech,Pre-series A,1300000.0,Gurugram,New-age fun-learning platform for kids.,2020,India Quotient
Plum,HealthTech,,4100000.0,Bangalore,High quality health insurance and health benefits,2020,"Surge, Tanglin Venture Partners"
STAGE,Entertainment,,1000000.0,Indore,STAGE is an Indian language content platform for artist-led entertainment.,2020,Venture Catalysts
Kaagaz Scanner,Scanning app,,575000.0,,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020,Pravega Ventures
NIRA,FinTech,,1000000.0,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2020,"Techstars Bangalore Accelerator, Techstars"
Prolixr,Skincare startup,Seed,,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,2020,"Alfa Ventures, Divij Bajaj"
Byju's,EdTech,,200000000.0,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2020,"Owl Ventures, Tiger Global Management"
DaMENSCH,E-commerce,,6000000.0,Bangalore,DaMENSCH is a designer and seller of men's apparel.,2020,"Whiteboard Capital, Matrix Partners India"
Country Delight,Food and Beverages,Series C,25000000.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,"Orios Venture Partners, Matrix Partners India"
SignalX,AI startup,Seed,800000.0,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,2020,"9Unicorns, 3Lines VC, Hyderabad Angels"
Lancify,EdTech,,300000.0,Bangalore,Lancify is building the world's strongest young workforce,2020,"Techstars, Techstars Bangalore Accelerator"
Krimanshi,Biotechnology company,Seed,600000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,"Rajasthan Venture Capital Fund, AIM Smart City"
Instoried,AI startup,Pre-series A,1000000.0,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,2020,"Venture Catalysts, SOSV"
PlayerzPot,Gaming startup,Series A,3000000.0,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",2020,
Turtlemint,HealthTech,,30000000.0,Mumbai,Turtlemint has built Indian personalized insurance platform,2020,"Nexus Venture Partners, Dream Incubator"
Arata,E-commerce,Pre-series A,1000000.0,New Delhi,Arata is an e-commerce site for beauty products and cosmetics.,2020,DSG Consumer Partners
MPL,Gaming startup,,5000000.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,"Pegasus Tech Ventures, Base Partners"
True Balance,FinTech,,28000000.0,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2020,"IBK Capital, SB Partners"
Thrive,FoodTech,Pre-series A,,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",2020,"Whiteboard Capital, Ahimsa Capital"
Kitchens Centre,Proptech,Pre-series A,,New Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,2020,"Jonathan Swanson, Ankush Gera"
Prescribe,HealthTech,,100000.0,Chennai,Provide online services to patients by leveraging WhatsApp.,2020,Titan Capital
Nepra,CleanTech,Series C,18000000.0,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,2020,"Asha Impact, Aavishkaar Venture Capital"
